 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
242,0.034,2.688,1.570,2.688,1.570,0.737,98.244,2.077,0.481,0.929
243,0.017,3.059,1.531,3.059,1.531,0.868,99.909,1.429,0.700,0.958
244,0.020,0.747,1.540,0.747,1.540,0.904,96.512,1.052,0.950,0.965
245,0.007,4.604,1.522,4.604,1.522,0.931,100.000,1.115,0.897,0.946
246,0.040,4.324,1.587,4.326,1.587,0.830,74.970,1.505,0.664,0.965
247,0.014,0.504,1.564,0.504,1.564,0.860,99.889,1.168,0.856,0.948
248,0.010,4.023,1.560,4.023,1.560,0.829,100.000,1.629,0.614,0.938
249,0.002,1.612,1.532,1.612,1.532,0.950,100.000,1.120,0.893,0.921
250,0.008,3.224,1.561,3.224,1.561,0.892,100.000,1.465,0.683,0.948
251,0.012,0.301,1.592,0.301,1.592,0.878,100.000,1.414,0.707,0.953
252,0.001,4.155,1.544,4.155,1.544,0.772,100.000,1.220,0.820,0.855
253,0.011,4.762,1.609,4.762,1.609,0.830,97.496,1.181,0.847,0.938
254,3.149E-5,5.024,1.550,5.024,1.550,1.000,100.000,2.000,0.500,1.000
255,0.011,0.911,1.616,0.911,1.616,0.841,100.000,1.549,0.646,0.950
256,0.038,2.397,1.669,2.397,1.669,0.892,99.626,1.203,0.831,0.972
257,0.010,1.257,1.632,1.257,1.632,0.835,100.000,1.402,0.713,0.942
258,0.009,3.558,1.608,3.558,1.608,0.779,99.656,1.368,0.731,0.942
259,0.038,1.834,1.682,1.834,1.682,0.882,98.096,1.232,0.812,0.969
260,0.044,1.105,1.776,1.105,1.776,0.594,99.567,2.907,0.344,0.950
261,0.001,3.702,1.596,3.703,1.597,0.625,98.611,1.270,0.787,0.837
262,0.038,3.026,1.744,3.025,1.742,0.677,91.632,2.200,0.454,0.911
263,0.011,1.657,1.668,1.657,1.668,0.773,100.000,1.511,0.662,0.930
264,0.039,1.433,1.729,1.433,1.729,0.887,97.422,1.272,0.786,0.972
265,0.007,2.002,1.654,2.002,1.654,0.858,100.000,1.131,0.884,0.935
266,0.010,3.414,1.674,3.414,1.674,0.809,99.843,1.739,0.575,0.932
267,0.003,3.134,1.662,3.134,1.662,0.338,96.296,1.153,0.867,0.785
268,0.024,4.011,1.732,4.011,1.731,0.884,95.882,1.144,0.874,0.964
269,0.052,3.268,1.805,3.268,1.805,0.817,98.598,1.608,0.622,0.968
270,0.010,4.604,1.698,4.604,1.698,0.823,100.000,1.414,0.707,0.934
271,0.033,0.630,1.753,0.630,1.753,0.899,96.451,1.073,0.932,0.968
272,0.021,0.435,1.740,0.435,1.740,0.878,97.396,1.100,0.909,0.965
273,0.017,3.586,1.739,3.586,1.739,0.900,95.528,1.147,0.872,0.964
274,0.044,4.254,1.802,4.256,1.798,0.768,75.189,1.687,0.593,0.958
275,0.004,0.869,1.707,0.869,1.707,0.888,100.000,1.150,0.870,0.931
276,0.002,2.888,1.701,2.889,1.700,0.427,96.296,1.346,0.743,0.801
277,0.013,3.761,1.745,3.761,1.745,0.889,99.041,1.225,0.817,0.952
278,0.015,0.175,1.756,0.175,1.756,0.902,100.000,1.264,0.791,0.958
279,0.017,2.122,1.772,2.122,1.772,0.910,99.445,1.064,0.939,0.965
280,0.004,2.808,1.744,2.808,1.744,0.820,100.000,1.673,0.598,0.914
281,0.012,2.535,1.786,2.535,1.786,0.461,96.803,1.984,0.504,0.844
282,0.015,4.777,1.780,4.777,1.780,0.894,97.312,1.287,0.777,0.960
283,0.011,2.711,1.783,2.711,1.783,0.813,100.000,1.234,0.810,0.928
284,0.002,2.913,1.761,2.912,1.761,0.264,92.929,2.639,0.379,0.569
285,0.009,0.958,1.793,0.958,1.793,0.761,100.000,1.392,0.718,0.933
286,6.299E-5,2.899,1.734,2.899,1.734,1.000,100.000,2.031,0.492,0.800
287,4.724E-5,2.935,1.736,2.935,1.736,0.967,100.000,3.000,0.333,1.000
288,0.020,1.941,1.822,1.942,1.822,0.878,89.266,1.159,0.863,0.954
289,0.026,4.532,1.831,4.533,1.831,0.860,88.990,1.249,0.800,0.963
290,0.005,2.276,1.799,2.276,1.799,0.876,100.000,1.156,0.865,0.925
291,1.575E-5,2.510,1.756,2.510,1.756,1.000,100.000,1.000,1.000,1.000
292,0.006,1.711,1.808,1.711,1.808,0.870,100.000,1.368,0.731,0.931
293,1.575E-5,2.526,1.768,2.526,1.768,1.000,100.000,1.000,1.000,1.000
294,1.575E-5,2.494,1.772,2.494,1.772,1.000,100.000,1.000,1.000,1.000
295,0.036,0.826,1.918,0.826,1.918,0.826,96.678,1.462,0.684,0.966
296,0.005,0.278,1.832,0.278,1.832,0.929,100.000,1.268,0.789,0.942
297,0.036,1.373,1.937,1.374,1.940,0.629,94.067,2.650,0.377,0.909
298,0.004,3.928,1.847,3.928,1.847,0.855,98.868,1.200,0.834,0.920
299,0.005,4.062,1.854,4.062,1.854,0.920,100.000,1.231,0.813,0.935
300,0.011,3.828,1.879,3.828,1.879,0.910,99.855,1.076,0.929,0.957
301,0.038,3.671,1.937,3.673,1.939,0.894,79.177,1.237,0.808,0.973
302,0.010,2.838,1.887,2.838,1.887,0.904,100.000,1.140,0.877,0.948
303,0.022,1.627,1.928,1.627,1.928,0.897,98.213,1.187,0.842,0.964
304,0.007,2.626,1.888,2.626,1.888,0.876,99.778,1.463,0.684,0.946
305,0.013,3.434,1.903,3.434,1.903,0.847,99.753,1.372,0.729,0.951
306,0.014,2.293,1.912,2.294,1.912,0.741,97.783,1.633,0.612,0.940
307,0.023,0.469,1.927,0.469,1.927,0.825,99.865,1.558,0.642,0.956
308,0.018,4.878,1.942,4.878,1.942,0.907,93.906,1.209,0.827,0.964
309,0.020,1.803,1.967,1.804,1.967,0.885,93.226,1.253,0.798,0.960
310,0.005,1.031,1.936,1.031,1.936,0.820,100.000,1.040,0.962,0.917
311,0.020,2.467,1.982,2.467,1.982,0.916,99.611,1.052,0.951,0.968
312,0.031,2.008,1.992,2.009,1.992,0.882,99.291,1.235,0.810,0.970
313,0.014,2.717,1.975,2.717,1.975,0.864,99.891,1.441,0.694,0.958
314,0.001,0.635,1.946,0.635,1.946,0.933,100.000,1.044,0.957,0.883
315,0.031,2.970,2.023,2.970,2.023,0.890,99.087,1.046,0.956,0.968
316,0.046,4.717,2.097,4.719,2.101,0.667,89.085,1.837,0.544,0.902
317,2.677E-4,5.020,1.953,5.020,1.953,0.265,100.000,1.447,0.691,0.531
318,5.826E-4,1.217,1.958,1.217,1.958,0.855,100.000,1.250,0.800,0.925
319,0.010,3.495,2.005,3.495,2.005,0.899,100.000,1.076,0.929,0.951
320,0.053,4.413,2.092,4.417,2.092,0.575,85.164,1.950,0.513,0.860
321,0.012,4.022,2.035,4.022,2.035,0.779,95.687,1.502,0.666,0.944
322,3.149E-5,5.000,1.962,5.000,1.962,1.000,100.000,2.000,0.500,1.000
323,0.010,3.192,2.025,3.192,2.025,0.882,100.000,1.178,0.849,0.959
324,0.008,3.866,2.024,3.866,2.024,0.809,99.442,1.064,0.940,0.929
325,0.004,4.584,2.029,4.584,2.029,0.194,95.439,2.487,0.402,0.612
